,Years,Months,Crime Rate
482,1979,7,5.7
483,1979,6,5.7
484,1979,5,5.6
485,1979,4,5.8
486,1979,3,5.8
487,1979,2,5.9
488,1979,1,5.9
489,1978,12,6.0
490,1978,11,5.9
491,1978,10,5.8
492,1978,9,6.0
493,1978,8,5.9
494,1978,7,6.2
495,1978,6,5.9
496,1978,5,6.0
497,1978,4,6.1
498,1978,3,6.3
499,1978,2,6.3
500,1978,1,6.4
501,1977,12,6.4
502,1977,11,6.8
503,1977,10,6.8
504,1977,9,6.8
505,1977,8,7.0
506,1977,7,6.9
507,1977,6,7.2
508,1977,5,7.0
509,1977,4,7.2
510,1977,3,7.4
511,1977,2,7.6
512,1977,1,7.5
513,1976,12,7.8
514,1976,11,7.8
515,1976,10,7.7
516,1976,9,7.6
517,1976,8,7.8
518,1976,7,7.8
519,1976,6,7.6
520,1976,5,7.4
521,1976,4,7.7
522,1976,3,7.6
523,1976,2,7.7
524,1976,1,7.9
525,1975,12,8.2
526,1975,11,8.3
527,1975,10,8.4
528,1975,9,8.4
529,1975,8,8.4
530,1975,7,8.6
531,1975,6,8.8
532,1975,5,9.0
533,1975,4,8.8
534,1975,3,8.6
535,1975,2,8.1
536,1975,1,8.1
537,1974,12,7.2
538,1974,11,6.6
539,1974,10,6.0
540,1974,9,5.9
541,1974,8,5.5
542,1974,7,5.5
543,1974,6,5.4
544,1974,5,5.1
545,1974,4,5.1
546,1974,3,5.1
547,1974,2,5.2
548,1974,1,5.1
549,1973,12,4.9
550,1973,11,4.8
551,1973,10,4.6
552,1973,9,4.8
553,1973,8,4.8
554,1973,7,4.8
555,1973,6,4.9
556,1973,5,4.9
557,1973,4,5.0
558,1973,3,4.9
559,1973,2,5.0
560,1973,1,4.9
561,1972,12,5.2
562,1972,11,5.3
563,1972,10,5.6
564,1972,9,5.5
565,1972,8,5.6
566,1972,7,5.6
567,1972,6,5.7
568,1972,5,5.7
569,1972,4,5.7
570,1972,3,5.8
571,1972,2,5.7
572,1972,1,5.8
573,1971,12,6.0
574,1971,11,6.0
575,1971,10,5.8
576,1971,9,6.0
577,1971,8,6.1
578,1971,7,6.0
579,1971,6,5.9
580,1971,5,5.9
581,1971,4,5.9
582,1971,3,6.0
583,1971,2,5.9
584,1971,1,5.9
585,1970,12,6.1
586,1970,11,5.9
587,1970,10,5.5
588,1970,9,5.4
589,1970,8,5.1
590,1970,7,5.0
591,1970,6,4.9
592,1970,5,4.8
593,1970,4,4.6
594,1970,3,4.4
595,1970,2,4.2
596,1970,1,3.9
597,1969,12,3.5
598,1969,11,3.5
599,1969,10,3.7
600,1969,9,3.7
601,1969,8,3.5
602,1969,7,3.5
603,1969,6,3.5
604,1969,5,3.4
605,1969,4,3.4
606,1969,3,3.4
607,1969,2,3.4
608,1969,1,3.4
609,1968,12,3.4
610,1968,11,3.4
611,1968,10,3.4
612,1968,9,3.4
613,1968,8,3.5
614,1968,7,3.7
615,1968,6,3.7
616,1968,5,3.5
617,1968,4,3.5
618,1968,3,3.7
619,1968,2,3.8
620,1968,1,3.7
621,1967,12,3.8
622,1967,11,3.9
623,1967,10,4.0
624,1967,9,3.8
625,1967,8,3.8
626,1967,7,3.8
627,1967,6,3.9
628,1967,5,3.8
629,1967,4,3.8
630,1967,3,3.8
631,1967,2,3.8
632,1967,1,3.9
633,1966,12,3.8
634,1966,11,3.6
635,1966,10,3.7
636,1966,9,3.7
